"","PLAYER","TEAM","YEAR","HT","POS","AGE","Pos","Numb","G","X2PA","X3PA","FTA","Poss","Ast.Pos","Tov.Pos","Stl.G","Blk.G","TS","FTA.G","Three.G","Two.G","Three.Per","Two.Per","FTA.FGA","Three.FGA","OR.G","DR.G","PF.G","adjTempo","adjOE","adjDE"
"42","Deng Adel","Louisville","Junior","7-Jun","SF/PF",22.2,"F",3,89,204,117.166666666667,102,12.8753060011884,0.165835232038447,0.148953414663068,0.556298276886512,0.290552584670232,1.09986250119863,3.10071301247772,3.53728461081402,6.18983957219251,0.34864407246297,0.49150151520915,0.32697225936333,0.355866870496671,0.631610219845514,3.78995840760547,1.51099227569816,68.50385,111.542,95.3169833333333
"43","Deshon Taylor","Fresno State","Junior","3-Jun","G",22.1,"G",2,65,173.333333333333,143.333333333333,215,14.9232323232323,0.16442052833975,0.144991048282218,1.43497474747475,0.124368686868687,1.25987778821295,6.66666666666667,4.44002525252525,5.37878787878788,0.391489212172324,0.481111111111111,0.678667626433846,0.458350748463598,0.411616161616162,2.4905303030303,2.10606060606061,67.2444666666667,107.8,99.5440666666667
"44","Devon Hall","Virginia","Senior","5-Jun","SG",22.7,"G",4,128,131.6,92.7,62,8.33399529964747,0.286468115456143,0.126571414653046,0.631022326674501,0.152519527199834,1.08048870266384,1.82278634132854,2.71752263772724,3.8633061450197,0.384355179704017,0.441880008479966,0.271116146404302,0.407144158260157,0.387233013064215,3.21346858367319,1.49757724476395,59.57212,113.5276,88.71793
"45","Devonte Klines","Montana State","Junior","Jun-00","PG",22.8,"G",2,64,170.333333333333,51,79.6666666666667,9.63708333333333,0.163826613390831,0.168498290584047,0.645833333333333,0.21875,0.899607375654092,2.48958333333333,1.59375,5.32291666666667,0.246851983844144,0.426379742583996,0.359820902072105,0.230790855857709,0.625,1.34375,2.42708333333333,69.5444,102.698,109.82
"46","Devonte' Graham","Kansas","Senior","2-Jun","PG",23.1,"G",4,142,164.6,219,134,13.8914140723161,0.357368885978046,0.152091760243251,1.46991134999302,0.105161943319838,1.16710378739135,3.5742147145051,5.82882172274187,4.38802061519847,0.409625843353718,0.442194027998433,0.359918607834672,0.558305078489763,0.483827772348643,2.87645888594164,1.61906556843036,69.07635,118.2279,96.53277
"47","Dewan Huell","Miami (FL)","Sophomore","1-Jun","PF",21.3,"F",2,64,215.666666666667,2.66666666666667,85.6666666666667,9.23,0.0372362271775128,0.135840367609993,0.46875,0.90625,1.18251950268813,2.67708333333333,0.0833333333333333,6.73958333333333,0,0.568376068376068,0.386522425061979,0.0124408384043272,1.82291666666667,3.64583333333333,1.88541666666667,65.6989666666667,108.388333333333,97.7894666666667
"48","Dextor Foster","ASA College","Junior","5-Jun","SF",21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Dikembe Dixson","Illinois (Chi.)","Junior","7-Jun","SF/PF",21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","DJ Hogg","Texas A&M","Junior","9-Jun","SF/PF",21.5,"F",3,91,112.5,149.166666666667,55.8333333333333,11.8465678746929,0.213325254397848,0.146607463647817,0.830146908271908,0.778204340704341,1.05276666914496,1.92919481981982,5.13180794430794,4.05136670761671,0.366331585894075,0.451195353400691,0.209252642469362,0.569762879927188,1.14364506552007,3.67142710892711,1.9420428951679,67.4537,108.188166666667,97.7423333333333
"51","Dominic MaGee","Southern Miss","Junior","4-Jun","SG",21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Donte DiVincenzo","Villanova","Sophomore","5-Jun","PG",21.1,"G",2,76,159,179.666666666667,99,11.595037037037,0.242452740165219,0.154727849886654,1.00555555555556,0.225925925925926,1.20904027921444,2.55185185185185,4.59814814814815,4.08518518518518,0.389034727919059,0.571287732970283,0.30067181090199,0.525283989478363,1.10925925925926,3.32592592592593,1.92037037037037,67.1673666666667,122.625,97.0526333333333
"53","Doral Moore","Wake Forest","Junior","Jul-00","C",21.2,"C",3,92,143.666666666667,0,56.6666666666667,6.49151254480287,0.0199732932121255,0.186261522151509,0.232258064516129,1.40752688172043,1.24151072234272,1.83351254480287,0,4.64767025089606,0,0.627566090680845,0.420691182986265,0,2.0494623655914,3.79767025089606,2.36272401433692,70.2039166666667,110.774166666667,105.135
"54","Drew Eubanks","Oregon State","Junior","10-Jun","C",21.2,"F",3,96,263.833333333333,0,123.833333333333,12.04125,0.0830189039108466,0.171302412426432,0.515625,1.78125,1.27112152147034,3.86979166666667,0,8.24479166666667,0,0.604229291993686,0.464560044888631,0,2,4.9375,2.79166666666667,65.4731,104.092166666667,103.21025
"55","Elijah Bryant","BYU","Junior","5-Jun","SG",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Eric Davis","Texas","Junior","3-Jun","PG",20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
