,,247Sports,AS,College,DT,Draft,ESPN,FS,From,HM,HS,High School,MP,PS,Pk,Player,PrepStars,RC,RH,RH/PS,RSCI,Rd,Rivals,SC,SI,SN,SS,Scout,Tm,To,VC,WS
29,,,,University of Illinois at Urbana-Champaign,19,2012,,,2013,24,,"Robinson (Robinson, IL)",,45,11,Meyers Leonard (college),,31,35,,T29,1,,,47,,,,POR,2018,,10.4
30,,,,Syracuse University,27,2012,,,2013,23,,"Burlington Life Center Academy (Burlington, NJ)",,52,4,Dion Waiters (college),,29,63,,31,1,,,15,,,,CLE,2018,,8.6
31,,,,Duke,33,,,,,32,,,,28,,Josh Hairston (college),,56,44,,32,,,,19,,,,,,,
32,,,,University of Washington,26,2012,,,2013,42,,"Jefferson (Portland, OR)",,40,8,Terrence Ross (college),,48,32,,33,1,,,30,,,,TOR,2018,,18.4
33,,,,Michigan State University,45,,,,2016,33,,"Pershing (Detroit, MI)",,37,,Keith Appling (college),,38,39,,34,,,,27,,,,,2016,,-0.1
34,,,,Florida State,21,,,,,45,,,,36,,Ian Miller (college),,62,23,,35,,,,37,,,,,,,
35,,,,Oklahoma,39,,,,,50,,,,35,,Cameron Clark (college),,34,36,,36,,,,32,,,,,,,
36,,,,Marshall,40,,,,,36,,,,30,,Justin Coleman (college),,50,45,,37,,,,50,,,,,,,
37,,,,Stanford University,42,2014,,,2015,38,,"IMG Academy (Bradenton, FL)",,74,45,Dwight Powell (college),,25,42,,38,2,,,40,,,,CHH,2018,,15.5
38,,,,UCLA,47,,,,,46,,,,44,,Tyler Lamb (college),,41,62,,39,,,,28,,,,,,,
39,,,,University of Tennessee,38,2014,,,2016,37,,"Liberty County (Hinesville, GA)",,51,58,Jordan McRae (college),,47,60,,40,2,,,38,,,,SAS,2017,,0.9
40,,,,University of Missouri,55,,,,2014,44,,"Episcopal School of Dallas (Dallas, TX)",,43,,Phil Pressey (college),,61,27,,41,,,,42,,,,,2016,,0.7
41,,,,Georgetown,44,,,,,34,,,,49,,Nate Lubick (college),,55,47,,42,,,,48,,,,,,,
42,,,,Florida State University,57,,,,2017,55,,"Clearwater (Clearwater, FL)",,34,,Okaro White (college),,67,30,,43,,,,36,,,,,2018,,0.8
43,,,,Florida International,58,,,,,64,,,,31,,Dominique Ferguson (college),,46,38,,44,,,,58,,,,,,,
44,,,,,60,,,,,48,,,,39,,Luke Cothron,,45,50,,45,,,,55,,,,,,,
45,,,,Villanova,51,,,,,40,,,,33,,Jayvaughn Pinkston (college),,73,43,,46,,,,62,,,,,,,
46,,,,Auburn,36,,,,,51,,,,54,,K.T. Harrell (college),,30,53,,47,,,,90,,,,,,,
47,,,,Marquette University,34,,,,2014,35,,,,90,,Vander Blue (college),,24,,,48,,,,31,,,,,2018,,-0.4
48,,,,Wake Forest,54,,,,,47,,,,50,,Travis McKie (college),,57,49,,49,,,,60,,,,,,,
49,,,,Georgia Tech,67,,,,,52,,,,59,,Stacey Poole (college),,33,61,,50,,,,51,,,,,,,
50,,,,Southern California,65,,,,,43,,,,47,,JT Terrell (college),,53,77,,51,,,,49,,,,,,,
51,,,,University of Florida,59,,,,,59,,"North Side (Jackson, TN)",,56,,Casey Prather (college),,71,59,,52,,,,35,,,,,,,
52,,,,Long Beach State,79,,,,,58,,,,85,,Keala King (college),,26,52,,53,,,,43,,,,,,,
53,,,,Stanford University,52,2015,,,2016,49,,"Ocean View (Huntington Beach, CA)",,67,34,Anthony Brown (college),,65,34,,54,2,,,81,,,,LAL,2018,,-0.2
54,,,,Maryland,68,,,,,69,,,,55,,Mychal Parker (college),,60,58,,55,,,,45,,,,,,,
55,,,,North Carolina State University,,2013,,,2014,84,,"Hargrave (Chatham, VA)",,17,52,Lorenzo Brown (college),,36,20,,56,2,,,,,,,MIN,2018,,-0.1
56,,,,Baylor,86,,,,,39,,,,42,,Gary Franklin (college),,78,55,,57,,,,65,,,,,,,
57,,,,San Diego State,37,,,,,41,,,,53,,James Johnson (college),,,51,,58,,,,92,,,,,,,
58,,,,University of Kansas,75,,,,2015,72,,"Ridgeway (Memphis, TN)",,60,,Tarik Black (college),,54,57,,59,,,,59,,,,,2018,,10.8
59,,,,Alabama,50,,,,,60,,,,63,,Trevor Releford (college),,90,71,,60,,,,52,,,,,,,
60,,,,Miami (FL),63,,,,,63,,,,38,,Rion Brown (college),,68,56,,61,,,,,,,,,,,
61,,,,South Carolina,53,,,,,56,,,,76,,Damontre Harris (college),,64,72,,T61,,,,68,,,,,,,
62,,,,University of Dayton,64,,,,,61,,"Princeton (Sharonville, OH)",,80,,Jordan Sibert (college),,39,69,,63,,,,82,,,,,,,
63,,,,Gonzaga,35,,,,,54,,,,,,Gerard Coleman (college),,58,97,,64,,,,54,,,,,,,
64,,,,Villanova,78,,,,,68,,,,89,,James Bell (college),,42,91,,65,,,,41,,,,,,,
65,,,,Providence,41,,,,,53,,,,97,,Carson Desrosiers (college),,91,66,,66,,,,64,,,,,,,
66,,,,Rutgers,49,,,,,71,,,,73,,J.J. Moore (college),,,46,,67,,,,77,,,,,,,
67,,,,,61,,,,,62,,,,70,,Noah Cottrill,,82,74,,68,,,,73,,,,,,,
68,,,,University of Louisville,46,2013,,,2014,65,,"Huntington St. Joseph Prep (Huntington, WV)",,66,21,Gorgui Dieng (college),,44,,,69,1,,,,,,,UTA,2018,,21.6
69,,,,Colorado State,72,,,,,70,,,,48,,Daniel Bejarano (college),,75,70,,70,,,,91,,,,,,,
70,,,,University of California,71,2013,,,2014,90,,"Price (Los Angeles, CA)",,,31,Allen Crabbe (college),,69,48,,71,2,,,57,,,,CLE,2018,,13.0
71,,,,Oklahoma State University,66,,,,,57,,,,100,,Mike Cobbins (college),,40,99,,72,,,,75,,,,,,,
72,,,,South Carolina,56,,,,,67,,,,78,,Bruce Ellington (college),,96,40,,73,,,,,,,,,,,
73,,,,Florida Gulf Coast,,,,,,96,,,,79,,Jamail Jones (college),,52,67,,74,,,,53,,,,,,,
74,,,,University of Connecticut,62,2014,,,2015,76,,"Lawrence Academy (Groton, MA)",,77,24,Shabazz Napier (college),,98,54,,75,1,,,,,,,CHH,2018,,4.4
75,,,,Southern Methodist,80,,,,,,,,,62,,Crandall Head (college),,84,64,,76,,,,79,,,,,,,
76,,,,Georgia Tech,84,,,,,79,,,,69,,Jason Morris (college),,87,85,,77,,,,67,,,,,,,
77,,,,University of Connecticut,88,2012,,,2013,77,,"Norcross (Norcross, GA)",,58,12,Jeremy Lamb (college),,76,73,,78,1,,,,,,,HOU,2018,,15.4
78,,,,West Virginia University,70,,,,,82,,"Oak Hill Academy (Mouth of Wilson, VA)",,,,Juwan Staten (college),,49,,,79,,,,71,,,,,,,
79,,,,Maryland,98,,,,,83,,,,71,,Evan Smotrycz (college),,59,80,,80,,,,84,,,,,,,
80,,,,Vanderbilt,,,,,,,,,,81,,Rod Odom (college),,92,37,,81,,,,66,,,,,,,
81,,,,Iowa State University,69,,,,2016,73,,"Taft (Woodland Hills, CA)",,,,Bryce Dejean-Jones (college),,97,81,,82,,,,69,,,,,2016,,0.2
82,,,,Rutgers University,43,,,,,,,"Rice (New York, NY)",,46,,Kadeem Jack (college),,,,,83,,,,,,,,,,,
83,,,,Purdue,73,,,,,75,,,,,,Terone Johnson (college),,51,94,,84,,,,,,,,,,,
84,,,,Dayton,77,,,,,78,,,,93,,Matt Derenbecker (college),,77,86,,85,,,,87,,,,,,,
85,,,,Georgia Tech,89,,,,,93,,,,64,,Trae Golden (college),,63,92,,86,,,,,,,,,,,
86,,,,Xavier,87,,,,,,,,,,,Justin Martin (college),,86,,,87,,,,46,,,,,,,
87,,,,Florida,,,,,,66,,,,65,,Cody Larson (college),,,89,,88,,,,,,,,,,,
88,,,,Virginia Polytechnic Institute and State University,81,,,,2016,74,,"The Cannon School (Concord, NC)",,,,Jarell Eddie (college),,70,,,89,,,,,,,,,2018,,0.2
89,,,,San Diego State,,,,,,100,,,,61,,Dwayne Polee (college),,,65,,90,,,,,,,,,,,
90,,,,Texas A&M,,,,,,,,,,57,,Keith Davis (college),,,68,,T90,,,,,,,,,,,
91,,,,Michigan State,82,,,,,87,,,,,,Russell Byrd (college),,,,,92,,,,61,,,,,,,
92,,,,Kent State,,,,,,,,,,87,,Melvin Tabb (college),,88,90,,93,,,,74,,,,,,,
93,,,,Georgetown,85,,,,,,,,,,,Markel Starks (college),,80,,,94,,,,76,,,,,,,
94,,,,Wisconsin,,,,,,,,,,68,,Evan Anderson (college),,,76,,95,,,,,,,,,,,
95,,,,Syracuse University,90,,,,,,,,,,,C.J. Fair (college),,94,,,96,,,,63,,,,,,,
96,,,,Mississippi,,,,,,86,,,,,,Demarco Cox (college),,83,95,,97,,,,85,,,,,,,
97,,,,University of New Mexico,76,,,,2015,80,,"Los Alamos (Los Alamos, NM)",,,,Alex Kirk (college),,,,,98,,,,99,,,,,2015,,0.0
98,,,,Saint Joseph's University,,,,,,,,"Plymouth-Whitemarsh (Plymouth Meeting, PA)",,,,C.J. Aiken (college),,79,75,,T98,,,,,,,,,,,
99,,,,North Carolina State,,,,,,85,,,,,,Ralston Turner (college),,,,,100,,,,70,,,,,,,
0,,,1,Georgia Institute of Technology,1,2010,,,2011,1,,"South Atlanta (Atlanta, GA)",,1,3,Derrick Favors (college),,3,2,,1,1,,,2,,,,NJN,2018,,44.4
1,,,6,University of Kentucky,2,2010,,,2011,3,,"Word of God Academy (Raleigh, NC)",,3,1,John Wall (college),,1,1,,2,1,,,5,,,,WAS,2018,,43.2
2,,,2,University of Kentucky,3,2010,,,2011,4,,"LeFlore Magnet (Mobile, AL)",,4,5,DeMarcus Cousins (college),,2,5,,3,1,,,4,,,,SAC,2018,,49.3
3,,,9,University of Texas at Austin,5,2010,,,2011,2,,"Findlay College Prep (Henderson, NV)",,2,19,Avery Bradley (college),,4,3,,4,1,,,1,,,,BOS,2018,,14.0
4,,,3,University of North Carolina,4,2012,,,2013,5,,"Sickles (Tampa, FL)",,5,14,John Henson (college),,5,4,,5,1,,,6,,,,MIL,2018,,18.7
5,,,4,University of Kansas,6,2010,,,2011,8,,"Putnam City (Oklahoma City, OK)",,6,12,Xavier Henry (college),,8,6,,6,1,,,3,,,,MEM,2015,,0.8
6,,,5,Mississippi State,7,,,,,9,,,,7,,Renardo Sidney (college),,16,9,,7,,,,7,,,,,,,
7,,,7,University of Cincinnati,8,2010,,,2011,7,,"Abraham Lincoln (Brooklyn, NY)",,11,40,Lance Stephenson (college),,11,8,,8,2,,,12,,,,IND,2018,,17.8
8,,,8,Florida,15,,,,,6,,,,8,,Kenny Boynton (college),,12,7,,9,,,,9,,,,,,,
9,,,15,University of Oklahoma,11,,,,,13,,,,10,,Tiny Gallon (college),,9,15,,10,,,,11,,,,,,,
10,,,11,University of Washington,10,,,,,10,,"Bellarmine Prep (Tacoma, WA)",,16,,Abdul Gaddy (college),,13,16,,11,,,,14,,,,,,,
11,,,16,Villanova,9,,,,,11,,,,26,,Mouphtaou Yarou (college),,10,20,,12,,,,18,,,,,,,
12,,,14,Pittsburgh,16,,,,,18,,,,23,,Dante Taylor (college),,14,13,,13,,,,16,,,,,,,
13,,,10,Duke University,12,2013,,,2014,14,,"Ravenscroft (Raleigh, NC)",,18,48,Ryan Kelly (college),,20,32,,14,2,,,17,,,,LAL,2017,,3.0
14,,,17,Rutgers,19,,,,,20,,,,19,,Wally Judge (college),,18,17,,15,,,,15,,,,,,,
15,,,12,University of Missouri,20,2013,,,,19,,"Tilton School (Tilton, NH)",,22,57,Alex Oriakhi (college),,21,19,,16,2,,,20,,,,PHO,,,
16,,,63,Florida State University,13,,,,,12,,"Rancho Verde (Moreno Valley, CA)",,13,,Michael Snaer (college),,7,14,,17,,,,22,,,,,,,
17,,,21,Duke University,18,2013,,,2014,17,,"Christ School (Arden, NC)",,12,22,Mason Plumlee (college),,55,12,,18,1,,,10,,,,BRK,2018,,31.2
18,,,28,Villanova,22,,,,,26,,,,14,,Dominic Cheek (college),,30,11,,19,,,,19,,,,,,,
19,,,31,University of Kentucky,17,2010,,,2012,16,,"Bishop McGuiness (Oklahoma City, OK)",,21,29,Daniel Orton (college),,22,30,,T19,1,,,13,,,,ORL,2014,,1.0
20,,,19,Clemson,23,,,,,25,,,,17,,Milton Jennings (college),,25,21,,21,,,,26,,,,,,,
21,,,,University of Texas at Austin,14,2011,,,2012,15,,"Dominguez (Compton, CA)",,15,26,Jordan Hamilton (college),,6,10,,22,1,,,8,,,,DAL,2016,,4.6
22,,,20,Villanova University,26,,,,2013,24,,"Roman Catholic (Philadelphia, PA)",,30,,Maalik Wayns (college),,26,26,,23,,,,23,,,,,2014,,-0.6
23,,,13,University of North Carolina,33,,,,,30,,"St. Patrick (Elizabeth, NJ)",,20,,Dexter Strickland (college),,34,34,,24,,,,27,,,,,,,
24,,,55,Kansas,29,,,,,27,,,,27,,Elijah Johnson (college),,24,18,,25,,,,28,,,,,,,
25,,,27,North Carolina State University,28,2013,,,2014,43,,"Hargrave (Chatham, VA)",,24,52,Lorenzo Brown (college),,37,25,,26,2,,,29,,,,MIN,2018,,-0.1
26,,,24,University of Louisville,38,2013,,,2014,39,,"Franklin (Seattle, WA)",,29,56,Peyton Siva (college),,39,29,,27,2,,,25,,,,DET,2014,,-0.2
27,,,38,University of Kansas,24,2012,,,2013,28,,"Brewster Academy (Wolfeboro, NH)",,36,5,Thomas Robinson (college),,31,27,,28,1,,,40,,,,SAC,2017,,6.0
28,,,18,Vanderbilt University,40,2012,,,2013,44,,"Station Camp (Hendersonville, TN)",,52,23,John Jenkins (college),,15,40,,29,1,,,21,,,,ATL,2017,,3.0
29,,,59,Oklahoma,27,,,,,23,,,,33,,Tommy Mason-Griffin (college),,46,22,,30,,,,24,,,,,,,
30,,,39,Iowa State University,32,2012,,,2014,31,,"Hopkins (Hopkins, MN)",,49,16,Royce White (college),,19,38,,31,1,,,35,,,,HOU,2014,,-0.0
31,,,34,"University of California, Los Angeles",21,2011,,,2012,21,,"Sylmar (Sylmar, CA)",,51,35,Tyler Honeycutt (college),,28,39,,32,2,,,51,,,,SAC,2013,,-0.1
32,,,29,University of Miami,25,,,,,22,,"Rice (New York, NY)",,46,,Durand Scott (college),,33,48,,33,,,,43,,,,,,,
33,,,22,Georgia Tech,36,,,,,41,,,,39,,Mfon Udofia (college),,32,56,,34,,,,48,,,,,,,
34,,,30,Illinois,42,,,,,40,,,,38,,D.J. Richardson (college),,38,45,,35,,,,46,,,,,,,
35,,,61,Texas Southern,31,,,,,29,,,,40,,Aaric Murray (college),,35,35,,36,,,,59,,,,,,,
36,,,25,"University of California, Los Angeles",54,,,,2015,50,,"Mater Dei (Santa Ana, CA)",,34,,David Wear (college),,59,36,,37,,,,36,,,,,2015,,-0.0
37,,,26,"University of California, Los Angeles",55,,,,2015,55,,"Mater Dei (Santa Ana, CA)",,31,,Travis Wear (college),,60,31,,38,,,,37,,,,,2018,,-0.1
38,,,48,Southern California,43,,,,,54,,,,32,,Ari Stewart (college),,52,33,,39,,,,52,,,,,,,
39,,,66,Marquette,30,,,,,37,,,,45,,Jamil Wilson (college),,94,23,,40,,,,31,,,,,,,
40,,,49,Baylor,61,,,,,63,,,,28,,Nolan Dennis (college),,58,24,,41,,,,44,,,,,,,
41,,,60,Auburn,56,,,,,52,,,,48,,Noel Johnson (college),,53,46,,42,,,,30,,,,,,,
42,,,35,University of Florida,51,2013,,,2014,56,,"St. Mark's (Southborough, MA)",,44,49,Erik Murphy (college),,79,50,,43,2,,,38,,,,CHI,2014,,-0.1
43,,,41,North Carolina,52,,,,,76,,,,37,,Leslie McDonald (college),,65,57,,44,,,,32,,,,,,,
44,,,47,Indiana University,47,,,,,53,,"Shades Valley (Birmingham, AL)",,81,,Christian Watford (college),,41,59,,45,,,,34,,,,,,,
45,,,54,University of Minnesota,34,,,,,34,,"Robbinsdale Cooper (New Hope, MN)",,58,,Rodney Williams (college),,100,44,,46,,,,42,,,,,,,
46,,,42,Marquette,53,,,,,45,,,,41,,Junior Cadougan (college),,73,49,,47,,,,76,,,,,,,
47,,,40,San Diego State University,70,2011,,,2012,48,,"King (Riverside, CA)",,55,15,Kawhi Leonard (college),,48,64,,48,1,,,56,,,,IND,2018,,56.3
48,,,75,University of Illinois at Urbana-Champaign,57,,,,2018,51,,"Warren (Gurnee, IL)",,35,,Brandon Paul (college),,42,47,,49,,,,87,,,,,2018,,0.5
49,,,43,Connecticut,59,,,,,46,,,,,,Jamal Coombs-McDaniel (college),,50,63,,50,,,,33,,,,,,,
50,,,97,Texas Southern,,,,,,35,,,,25,,Ray Penn (college),,44,41,,51,,,,57,,,,,,,
51,,,,University of Kentucky,37,2010,,,2011,33,,"A.H. Parker (Birmingham, AL)",,69,18,Eric Bledsoe (college),,23,37,,52,1,,,,,,,OKC,2018,,34.4
52,,,,Arizona,48,,,,,70,,,,47,,Kyryl Natyazhko (college),,81,28,,53,,,,39,,,,,,,
53,,,52,Florida International,67,,,,,77,,,,65,,Rakeem Buckles (college),,36,43,,54,,,,78,,,,,,,
54,,,45,Southern Methodist,46,,,,,64,,,,63,,Shawn Williams (college),,67,86,,55,,,,53,,,,,,,
55,,,82,University of Arizona,58,2013,,,2014,47,,"Fairfax (Los Angeles, CA)",,97,23,Solomon Hill (college),,27,62,,56,1,,,54,,,,IND,2018,,8.7
56,,,46,Oregon,39,,,,,72,,,,75,,Mike Moser (college),,92,60,,57,,,,55,,,,,,,
57,,,,George Washington,41,,,,,62,,,,83,,Maurice Creek (college),,56,42,,58,,,,71,,,,,,,
58,,,23,Massachusetts,80,,,,,90,,,,50,,Terrell Vinson (college),,90,77,,59,,,,49,,,,,,,
59,,,36,North Carolina State University,64,,,,,60,,"Wheeler (Marietta, GA)",,74,,Richard Howell (college),,61,,,60,,,,65,,,,,,,
60,,,,Akron,35,,,,,42,,,,89,,Zeke Marshall (college),,43,92,,61,,,,61,,,,,,,
61,,,32,Tennessee,49,,,,,97,,,,61,,Kenny Hall (college),,74,90,,62,,,,62,,,,,,,
62,,,,,71,,,,,67,,,,43,,Karron Johnson,,57,85,,63,,,,50,,,,,,,
63,,,58,Kentucky,45,,,,,69,,,,93,,Jon Hood (college),,40,79,,64,,,,92,,,,,,,
64,,,37,Pepperdine,72,,,,,80,,,,,,Brendan Lane (college),,49,69,,65,,,,69,,,,,,,
65,,,70,George Washington,81,,,,,75,,,,62,,Isaiah Armwood (college),,62,,,66,,,,41,,,,,,,
66,,,83,Sam Houston State,90,,,,,49,,,,42,,Erik Williams (college),,,52,,67,,,,95,,,,,,,
67,,,57,Central Florida,87,,,,,87,,,,56,,Tristan Spurlock (college),,91,54,,T67,,,,80,,,,,,,
68,,,84,Oregon State,86,,,,,36,,,,60,,Roberto Nelson (college),,78,,,69,,,,73,,,,,,,
69,,,74,Mississippi,78,,,,,66,,,,,,Reginald Buckner (college),,29,75,,70,,,,,,,,,,,
70,,,33,North Texas,74,,,,,68,,,,70,,Roger Franklin (college),,98,,,71,,,,81,,,,,,,
71,,,62,Arkansas,62,,,,,78,,,,84,,Marshawn Powell (college),,72,,,72,,,,67,,,,,,,
72,,,44,Tennessee,84,,,,,71,,,,,,Jeronne Maymon (college),,47,,,73,,,,79,,,,,,,
73,,,86,Indiana,50,,,,,59,,,,88,,Jordan Hulls (college),,,55,,74,,,,,,,,,,,
74,,,67,South Carolina,66,,,,,89,,,,66,,Lakeem Jackson (college),,,58,,T74,,,,93,,,,,,,
75,,,,Georgetown University,44,,,,2014,32,,"Loyola (Los Angeles, CA)",,,,Hollis Thompson (college),,63,,,76,,,,,,,,,2017,,7.2
76,,,50,Temple,98,,,,,,,,,59,,Dalton Pepper (college),,,51,,77,,,,96,,,,,,,
77,,,68,Georgia Tech,89,,,,,88,,,,87,,Kammeon Holsey (college),,82,81,,78,,,,63,,,,,,,
78,,,,,,2010,,,,38,,"Christian Life Center Academy (Humble, TX)",,,48,Latavious Williams,,17,,,79,2,,,,,,,MIA,,,
79,,,,Old Dominion,69,,,,,81,,,,71,,Deshawn Painter (college),,,74,,80,,,,64,,,,,,,
80,,,64,Oklahoma,85,,,,,98,,,,,,Andrew Fitzgerald (college),,70,82,,81,,,,68,,,,,,,
81,,,65,Nevada-Las Vegas,79,,,,,74,,,,,,Anthony Marshall (college),,66,,,82,,,,85,,,,,,,
82,,,,Mississippi State,,,,,,57,,,,9,,John Riek (college),,,,,T82,,,,,,,,,,,
83,,,51,Iona,,,,,,,,,,57,,MoMo Jones (college),,68,95,,84,,,,,,,,,,,
84,,,71,Eastern Michigan,92,,,,,100,,,,80,,DaShonte Riley (college),,,73,,85,,,,58,,,,,,,
85,,,,Clemson University,65,,,,,92,,"Union (Union, SC)",,67,,Devin Booker (college),,96,61,,86,,,,,,,,,,,
86,,,53,University of Pittsburgh,63,,,,,65,,,,,,Talib Zanna (college),,,,,87,,,,,,,,,,,
87,,,76,Michigan State,73,,,,,79,,,,,,Derrick Nix (college),,69,93,,88,,,,97,,,,,,,
88,,,69,Central Florida,68,,,,,,,,,79,,Keith Clanton (college),,,70,,89,,,,,,,,,,,
89,,,,Miami (FL),75,,,,,91,,,,68,,Donnavan Kirk (college),,,65,,T89,,,,88,,,,,,,
90,,,,Georgia Institute of Technology,,2013,,,2014,,,"Walton (Marietta, GA)",,53,35,Glen Rice (college),,45,88,,91,2,,,,,,,PHI,2015,,-0.2
91,,,73,Baylor University,,2014,,,2015,82,,"Killeen (Killeen, TX)",,99,60,Cory Jefferson (college),,51,,,92,2,,,89,,,,SAS,2016,,0.9
92,,,,University of Alabama,,,,,2014,,,"Swainsboro (Swainsboro, GA)",,54,,Tony Mitchell (college),,,53,,93,,,,,,,,,2014,,0.1
93,,,,Seattle,,,,,,83,,,,72,,Clarence Trent (college),,,91,,94,,,,66,,,,,,,
94,,,,Virginia Tech,60,,,,,93,,,,94,,Cadarian Raines (college),,,68,,95,,,,,,,,,,,
95,,,,,,,,,,86,,,,91,,Rashanti Harris,,54,84,,T95,,,,,,,,,,,
96,,,,Arizona State,100,,,,,96,,,,77,,Chris Colvin (college),,99,72,,97,,,,77,,,,,,,
97,,,,Utah,,,,,,85,,,,,,Aaron Dotson (college),,89,,,98,,,,45,,,,,,,
98,,,87,Texas A&M University,,2012,,,2013,,,"Porter-Gaud (North Charleston, SC)",,82,39,Khris Middleton (college),,,71,,99,2,,,82,,,,DET,2018,,24.9
99,,,56,University of Arizona,94,2011,,,2012,,,"La Mirada (La Mirada, CA)",,,2,Derrick Williams (college),,,,,100,1,,,72,,,,MIN,2018,,17.7
0,,,,,1,2009,,,2010,1,1,"Oak Hill Academy (Mouth of Wilson, VA)",,1,10,Brandon Jennings,,4,1,,1,1,,,1,,,,MIL,2018,,33.1
1,,,,"University of California, Los Angeles",4,2009,,,2010,3,3,"Campbell Hall (North Hollywood, CA)",,4,17,Jrue Holiday (college),,2,3,,2,1,,,4,,,,PHI,2018,,33.7
2,,,,University of Memphis,5,2009,,,2010,4,2,"American Christian School (Aston, PA)",,2,4,Tyreke Evans (college),,6,4,,3,1,,,3,,,,SAC,2018,,28.8
3,,,,University of Louisville,2,,,,2011,2,4,"Saint Benedict's Preparatory School (Newark, NJ)",,3,,Samardo Samuels (college),,9,6,,4,,,,2,,,,,2013,,0.6
4,,,,University of Southern California,6,2009,,,2010,7,7,"Compton (Compton, CA)",,6,9,DeMar DeRozan (college),,3,2,,5,1,,,8,,,,TOR,2018,,54.0
5,,,,Georgetown University,8,2010,,,2011,5,10,"Helen Cox (Harvey, LA)",,5,7,Greg Monroe (college),,8,8,,6,1,,,20,,,,DET,2018,,51.9
6,,,,Wake Forest University,13,2010,,,2011,8,6,"Norcross (Norcross, GA)",,10,8,Al-Farouq Aminu (college),,7,7,,7,1,,,17,,,,LAC,2018,,21.6
7,,,,Ohio State University,3,2009,,,2010,12,34,"Canal Winchester (Canal Winchester, OH)",,11,24,Byron Mullens (college),,1,5,,8,1,,,5,,,,DAL,2014,,1.1
8,,,,University of North Carolina,10,2010,,,2011,6,16,"Benedictine (Richmond, VA)",,8,13,Ed Davis (college),,15,13,,9,1,,,11,,,,TOR,2018,,40.9
9,,,,Michigan State,11,,,,,10,9,,,9,,Delvon Roe (college),,24,14,,10,,,,15,,,,,,,
10,,,,Tennessee,7,,,,2014,18,25,"University Heights Academy (Hopkinsville, KY)",,18,,Scotty Hopson (college),,5,11,,11,,,,9,,,,,2018,,-0.1
11,,,,Ohio State,14,,,,,9,12,,,14,,William Buford (college),,19,15,,12,,,,12,,,,,,,
12,,,,University of Oklahoma,19,2010,,,2011,14,5,"North Crowley (Fort Worth, TX)",,16,54,Willie Warren (college),,10,26,,13,2,,,10,,,,LAC,2011,,0.2
13,,,,Florida State University,15,2011,,,2012,17,21,"Dunwoody (Dunwoody, GA)",,17,18,Chris Singleton (college),,12,9,,14,1,,,25,,,,WAS,2014,,2.3
14,,,,University of Connecticut,12,2011,,,2012,29,13,"Rice (New York, NY)",,23,9,Kemba Walker (college),,14,17,,15,1,,,14,,,,CHA,2018,,41.2
15,,,,University of Memphis,16,2010,,,2012,16,20,"St. George's Independent School (Collierville, TN)",,15,22,Elliot Williams (college),,16,21,,T15,1,,,18,,,,POR,2016,,0.8
16,,,,Alabama,20,,,,2015,20,11,"St. Jude (Montgomery, AL)",,21,,JaMychal Green (college),,21,29,,17,,,,6,,,,,2018,,11.7
17,,,,University of North Carolina,21,2012,,,2013,15,17,"Washington (Washington, IN)",,12,17,Tyler Zeller (college),,33,28,,18,1,,,7,,,,DAL,2018,,19.7
18,,,,"University of Nevada, Reno",24,2010,,,2011,23,26,"Galena (Reno, NV)",,24,16,Luke Babbitt (college),,31,19,,19,1,,,13,,,,MIN,2018,,8.1
19,,,,"University of California, Los Angeles",39,2011,,,2012,19,8,"John W. North (Riverside, CA)",,26,43,Malcolm Lee (college),,48,16,,20,2,,,31,,,,CHI,2015,,0.4
20,,,,University of Miami,22,,,,2013,47,31,"Wheeler (Marietta, GA)",,19,,DeQuan Jones (college),,23,25,,21,,,,28,,,,,2013,,0.1
21,,,,Oregon,26,,,,,24,18,"Farragut Career Academy (Chicago, IL)",,35,,Michael Dunigan (college),,32,44,,22,,,,22,,,,,,,
22,,,,Georgia Institute of Technology,18,2011,,,2012,21,35,"Oak Park and River Forest (Oak Park, IL)",,20,17,Iman Shumpert (college),,39,30,,T22,1,,,38,,,,NYK,2018,,13.0
23,,,,University of Georgia,27,2011,,,2012,27,49,"Wesleyan School (Norcross, GA)",,31,37,Trey Thompkins (college),,30,31,,24,2,,,21,,,,LAC,2012,,0.0
24,,,,Baylor,23,,,,,39,40,,,42,,J'Mison Morgan (college),,25,23,,25,,,,26,,,,,,,
25,,,,Kentucky,33,,,,,28,22,,,36,,Eloy Vargas (college),,26,37,,26,,,,41,,,,,,,
26,,,,,17,,,,,25,14,,,67,,Rashanti Harris,,41,34,,27,,,,37,,,,,,,
27,,,,University of Kansas,35,2013,,,2014,37,36,"Horizon (San Diego, CA)",,28,39,Jeff Withey (college),,36,20,,T27,2,,,43,,,,POR,2018,,6.8
28,,,,University of New Mexico,42,,,,2015,34,37,"Archbishop Mitty (San Jose, CA)",,34,,Drew Gordon (college),,46,35,,29,,,,24,,,,,2015,,-0.1
29,,,,West Virginia University,9,2010,,,2011,13,,"St. Thomas Moore School (Oakdale, CT)",,13,43,Devin Ebanks (college),,11,10,,30,2,,,,,,,LAL,2013,,0.5
30,,,,Florida,43,,,,,51,19,,,33,,Mike Rosario (college),,55,43,,31,,,,16,,,,,,,
31,,,,Cincinnati,36,,,,,63,32,,,30,,Yancy Gates (college),,22,47,,T31,,,,30,,,,,,,
32,,,,Virginia,44,,,,,32,28,,,29,,Sylven Landesberg (college),,66,46,,33,,,,19,,,,,,,
