,,247Sports,AS,College,DT,Draft,ESPN,FS,From,HM,HS,High School,MP,PS,Pk,Player,PrepStars,RC,RH,RH/PS,RSCI,Rd,Rivals,SC,SI,SN,SS,Scout,Tm,To,VC,WS
18,,29,,Villanova,,,16,,,,,,,,,Jalen Brunson (college),16,,,,19,,20,,,,,26,,,19,
19,,30,,Connecticut,,,25,,,,,,,,,Jalen Adams (college),6,,,,20,,23,,,,,18,,,30,
20,,21,,Duke University,,2017,24,,2018,,,"Franklin (Franklin, OH)",,,12,Luke Kennard (college),22,,,,21,1,25,,,,,22,DET,2018,34,2.6
21,,25,,Kansas,,,21,,,,,,,,,Carlton Bragg (college),26,,,,22,,21,,,,,35,,,24,
22,,24,,University of Oregon,,2017,38,,2018,,,"Maranatha (Los Angeles, CA)",,,41,Tyler Dorsey (college),27,,,,23,2,18,,,,,43,ATL,2018,18,0.4
23,,22,,University of South Carolina,,,19,,2018,,,"Spring Valley (Columbia, SC)",,,,Perry Dozier (college),44,,,,24,,37,,,,,25,,2018,25,-0.0
24,,13,,Indiana University,,2017,20,,2018,,,"Huntington Prep (Huntington, WV)",,,42,Thomas Bryant (college),66,,,,25,2,27,,,,,28,UTA,2018,20,0.1
25,,33,,Michigan State University,,2016,22,,2017,,,"Muskegon (Muskegon, MI)",,,31,Deyonta Davis (college),32,,,,26,2,26,,,,,34,BOS,2018,29,3.2
26,,35,,University of Louisville,,2017,43,,2018,,,"Brewster Academy (Wolfeboro, NH)",,,13,Donovan Mitchell (college),13,,,,27,1,31,,,,,17,DEN,2018,44,5.2
27,,19,,Oklahoma State University,,2017,33,,2018,,,"Justin F. Kimball (Dallas, TX)",,,39,Jawun Evans (college),31,,,,T27,2,36,,,,,32,PHI,2018,32,-0.2
28,,50,,Syracuse University,,2016,23,,2017,,,"Trenton Catholic Academy (Trenton, NJ)",,,22,Malachi Richardson (college),30,,,,29,1,35,,,,,29,CHO,2018,28,-0.1
29,,51,,Arizona,,,37,,,,,,,,,Justin Simon (college),21,,,,30,,24,,,,,27,,,37,
30,,,,Texas A&M,,,,,,,,,,,,D.J. Hogg (college),,,,,31,,,,,,,,,,,
31,,37,,Memphis,,,26,,,,,,,,,Dedric Lawson (college),43,,,,32,,33,,,,,45,,,21,
32,,44,,Texas A&M,,,27,,,,,,,,,Tyler Davis (college),55,,,,33,,28,,,,,33,,,27,
33,,38,,Louisville,,,32,,,,,,,,,Deng Adel (college),46,,,,34,,47,,,,,23,,,31,
34,,39,,Southern California,,,40,,,,,,,,,Chimezie Metu (college),23,,,,35,,41,,,,,30,,,52,
35,,59,,UCLA,,,41,,,,,,,,,Prince Ali (college),18,,,,36,,30,,,,,41,,,43,
36,,27,,Florida State University,,2016,28,,2017,,,"Saint Francis (Alpharetta, GA)",,,19,Malik Beasley (college),49,,,,37,1,43,,,,,54,DEN,2018,33,0.5
37,,,,Illinois,,,,,,,,,,,,Jalen Coleman-Lands (college),,,,,38,,,,,,,,,,,
38,,52,,Texas,,,47,,,,,,,,,Kerwin Roach (college),24,,,,39,,34,,,,,60,,,50,
39,,77,,Texas A&M,,,31,,,,,,,,,Elijah Thomas (college),68,,,,40,,29,,,,,49,,,23,
40,,26,,Louisville,,,57,,,,,,,,,Raymond Spalding (college),61,,,,41,,63,,,,,31,,,49,
41,,43,,Georgetown,,,67,,,,,,,,,Jessie Govan (college),36,,,,42,,40,,,,,51,,,53,
42,,32,,"University of Nevada, Las Vegas",,,30,,2017,,,"Archbishop Carroll (Radnor, PA)",,,,Derrick Jones (college),76,,,,43,,49,,,,,82,,2018,26,1.9
43,,41,,Ohio State,,,59,,,,,,,,,Daniel Giddens (college),53,,,,44,,51,,,,,55,,,41,
44,,64,,University of Washington,,2016,49,,2017,,,"Rainier Beach (Seattle, WA)",,,29,Dejounte Murray (college),56,,,,45,1,46,,,,,39,SAS,2018,60,3.2
45,,,,Memphis,,,,,,,,,,,,K.J. Lawson (college),,,,,46,,,,,,,,,,,
46,,55,,Texas,,,45,,,,,,,,,Eric Davis (college),70,,,,47,,59,,,,,50,,,47,
47,,40,,Arizona,,,93,,,,,,,,,Chance Comanche (college),35,,,,48,,32,,,,,47,,,81,
48,,78,,West Virginia,,,46,,,,,,,,,Esa Ahmad (college),37,,,,49,,72,,,,,56,,,46,
49,,72,,Kentucky,,,42,,,,,,,,,Charles Matthews (college),62,,,,50,,48,,,,,78,,,36,
50,,66,,Ohio State,,,50,,,,,,,,,Austin Grandstaff (college),86,,,,51,,44,,,,,58,,,45,
51,,74,,University of Washington,,2016,60,,2017,,,"Pleasant Grove (Elk Grove, CA)",,,8,Marquese Chriss (college),51,,,,52,1,56,,,,,53,SAC,2018,57,2.5
52,,53,,Texas,,,48,,,,,,,,,Tevin Mack (college),39,,,,53,,61,,,,,67,,,88,
53,,81,,Oregon State,,,63,,,,,,,,,Stephen Thompson (college),50,,,,54,,50,,,,,52,,,65,
54,,57,,Southern California,,,87,,,,,,,,,Bennie Boatwright (college),57,,,,55,,57,,,,,57,,,56,
55,,28,,Kansas,,,51,,,,,,,,,LaGerald Vick (college),,,,,56,,,,,,,36,,,55,
56,,79,,Louisiana State,,,,,,,,,,,,Brandon Sampson (college),38,,,,57,,42,,,,,62,,,51,
57,,49,,Auburn,,,61,,,,,,,,,Horace Spencer (college),81,,,,58,,71,,,,,77,,,39,
58,,,,North Carolina State,,,,,,,,,,,,Ted Kapita (college),,,,,59,,,,,,,,,,,
59,,36,,UCLA,,,88,,,,,,,,,Aaron Holiday (college),80,,,,60,,60,,,,,40,,,75,
60,,45,,Virginia Tech,,,54,,,,,,,,,Chris Clarke (college),75,,,,61,,68,,,,,79,,,61,
61,,47,,Connecticut,,,,,,,,,,,,Steve Enoch (college),34,,,,62,,58,,,,,44,,,,
62,,69,,Creighton University,,2017,,,2018,,,"Omaha North (Omaha, NE)",,,16,Justin Patton (college),48,,,,63,1,45,,,,,24,CHI,2018,,0.0
63,,61,,Florida,,,56,,,,,,,,,KeVaughn Allen (college),88,,,,64,,67,,,,,69,,,48,
64,,68,,Arkansas,,,77,,,,,,,,,Jimmy Whitt (college),59,,,,65,,55,,,,,70,,,69,
65,,67,,Baylor,,,36,,,,,,,,,King McClure (college),73,,,,66,,78,,,,,96,,,58,
66,,58,,Michigan State,,,69,,,,,,,,,Matthew McQuaid (college),52,,,,67,,84,,,,,85,,,63,
67,,70,,,,,58,,,,,,,,,Moustapha Diagne,87,,,,68,,77,,,,,80,,,40,
68,,98,,San Diego State,,,65,,,,,,,,,Jeremy Hemsley (college),40,,,,T68,,74,,,,,73,,,62,
69,,63,,Auburn,,,66,,,,,,,,,Danjel Purifoy (college),82,,,,T68,,69,,,,,66,,,66,
70,,10,,University of Kentucky,,2016,,,2017,,,,,,7,Jamal Murray (college),,,,,71,1,,,,,,12,DEN,2018,,6.9
71,,94,,Syracuse University,,2017,76,,2018,,,"New Hampton (New Hampton, NH)",,,24,Tyler Lydon (college),58,,,,72,1,64,,,,,68,UTA,2018,73,-0.0
72,,60,,Wake Forest,,,72,,,,,,,,,Doral Moore (college),65,,,,73,,70,,,,,,,,74,
73,,,,,,2016,,,2017,,,,,,10,Thon Maker,29,,,,T73,1,9,,,,,,MIL,2018,,2.8
74,,85,,Washington,,,52,,,,,,,,,Noah Dickerson (college),63,,,,75,,81,,,,,86,,,76,
75,,,,St. John's (NY),,,,,,,,,,,,Marcus LoVett (college),41,,,,76,,62,,,,,76,,,71,
76,,71,,Wisconsin,,,,,,,,,,,,Brevin Pritzl (college),45,,,,77,,79,,,,,59,,,,
77,,,,Illinois,,,,,,,,,,,,D.J. Williams (college),,,,,78,,,,,,,,,,,
78,,,,Syracuse,,,94,,,,,,,,,Franklin Howard (college),42,,,,79,,86,,,,,84,,,64,
79,,82,,Nebraska,,,73,,,,,,,,,Glynn Watson (college),,,,,80,,82,,,,,83,,,67,
80,,,,Rutgers,,,62,,,,,,,,,Corey Sanders (college),72,,,,81,,75,,,,,,,,79,
81,,48,,Florida,,,70,,,,,,,,,Kevarrius Hayes (college),,,,,82,,,,,,,,,,70,
82,,62,,North Carolina State,,,,,,,,,,,,Maverick Rowan (college),,,,,83,,,,,,,37,,,,
83,,54,,Ohio State,,,,,,,,,,,,Jaquan Lyle (college),,,,,84,,,,,,,48,,,,
84,,,,Nebraska,,,53,,,,,,,,,Ed Morrow (college),,,,,85,,,,,,,,,,54,
85,,87,,Texas A&M,,,68,,,,,,,,,Admon Gilder (college),96,,,,T85,,65,,,,,,,,94,
86,,65,,Marquette,,,85,,,,,,,,,Haanif Cheatham (college),98,,,,87,,76,,,,,95,,,93,
87,,,,Oregon,,,,,,,,,,,,Trevor Manuel (college),60,,,,88,,52,,,,,,,,,
88,,88,,Southern Methodist,,,79,,,,,,,,,Shake Milton (college),94,,,,89,,66,,,,,100,,,,
89,,,,North Carolina,,,84,,,,,,,,,Kenny Williams (college),74,,,,90,,89,,,,,,,,85,
90,,83,,Oregon State,,,91,,,,,,,,,Tres Tinkle (college),,,,,91,,93,,,,,88,,,80,
91,,,,Florida,,,82,,,,,,,,,Keith Stone (college),93,,,,92,,94,,,,,71,,,,
92,,,,Georgetown,,,89,,,,,,,,,Marcus Derrickson (college),91,,,,93,,87,,,,,97,,,78,
93,,,,Wake Forest,,,,,,,,,,,,Bryant Crawford (college),89,,,,94,,80,,,,,75,,,,
94,,,,Virginia Tech,,,,,,,,,,,,Justin Robinson (college),83,,,,95,,,,,,,61,,,,
95,,,,Marquette,,,,,,,,,,,,Matt Heldt (college),71,,,,96,,,,,,,74,,,,
96,,46,,Michigan,,,,,,,,,,,,Moritz Wagner (college),,,,,97,,,,,,,,,,,
97,,89,,Texas A&M,,,,,,,,,,,,Kobie Eubanks (college),,,,,98,,,,,,,64,,,,
98,,,,Mississippi State,,,,,,,,,,,,Quinndary Weatherspoon (college),64,,,,T98,,,,,,,89,,,,
99,,,,Ohio State,,,,,,,,,,,,A.J. Harris (college),,,,,T98,,,,,,,,,,,
0,,6,,Duke University,,2015,1,,2016,,,"Whitney Young (Chicago, IL)",,,3,Jahlil Okafor (college),1,,,,1,1,1,,,,,1,PHI,2018,3,3.6
1,,1,,,,2015,5,,2016,,,"Prime Prep Academy (Dallas, TX)",,,7,Emmanuel Mudiay,5,,,,2,1,2,,,,,2,DEN,2018,4,-2.0
2,,5,,University of Arizona,,2015,7,,2016,,,"Mater Dei (Santa Ana, CA)",,,8,Stanley Johnson (college),3,,,,3,1,3,,,,,3,DET,2018,2,2.8
3,,4,,University of Kansas,,,3,,2016,,,"Curie (Chicago, IL)",,,,Cliff Alexander (college),9,,,,4,,4,,,,,6,,2016,1,0.0
4,,2,,University of Kentucky,,2015,9,,2016,,,"St. Joseph High School (Metuchen, NJ)",,,1,Karl-Anthony Towns (college),2,,,,5,1,5,,,,,4,MIN,2018,12,34.9
5,,7,,University of Texas at Austin,,2015,2,,2016,,,"Trinity (Euless, TX)",,,11,Myles Turner (college),7,,,,6,1,9,,,,,5,IND,2018,5,15.8
6,,8,,Duke University,,2015,4,,2016,,,"Apple Valley (Apple Valley, MN)",,,24,Tyus Jones (college),8,,,,7,1,7,,,,,9,CLE,2018,6,5.5
