RSCI,Player,Draft,Year
87,Justin Martin,,2010
88,Cody Larson,,2010
89,Jarell Eddie,,2010
90,Dwayne Polee,,2010
T90,Keith Davis,,2010
92,Russell Byrd,,2010
93,Melvin Tabb,,2010
94,Markel Starks,,2010
95,Evan Anderson,,2010
96,C.J. Fair,,2010
97,Demarco Cox,,2010
98,C.J. Aiken,,2010
T98,Alex Kirk,,2010
100,Ralston Turner,,2010
1,Derrick Favors,2010,2009
2,John Wall,2010,2009
3,DeMarcus Cousins,2010,2009
4,Avery Bradley,2010,2009
5,John Henson,2012,2009
6,Xavier Henry,2010,2009
7,Renardo Sidney,,2009
8,Lance Stephenson,2010,2009
9,Kenny Boynton,,2009
10,Tiny Gallon,,2009
11,Abdul Gaddy,,2009
12,Mouphtaou Yarou,,2009
13,Dante Taylor,,2009
14,Ryan Kelly,2013,2009
15,Wally Judge,,2009
16,Alex Oriakhi,2013,2009
17,Michael Snaer,,2009
18,Mason Plumlee,2013,2009
19,Dominic Cheek,,2009
T19,Daniel Orton,2010,2009
21,Milton Jennings,,2009
22,Jordan Hamilton,2011,2009
23,Maalik Wayns,,2009
24,Dexter Strickland,,2009
25,Elijah Johnson,,2009
26,Lorenzo Brown,2013,2009
27,Peyton Siva,2013,2009
28,Thomas Robinson,2012,2009
29,John Jenkins,2012,2009
30,Tommy Mason-Griffin,,2009
31,Royce White,2012,2009
32,Tyler Honeycutt,2011,2009
33,Durand Scott,,2009
34,Mfon Udofia,,2009
35,D.J. Richardson,,2009
36,Aaric Murray,,2009
37,David Wear,,2009
38,Travis Wear,,2009
39,Ari Stewart,,2009
40,Jamil Wilson,,2009
41,Nolan Dennis,,2009
42,Noel Johnson,,2009
43,Erik Murphy,2013,2009
44,Leslie McDonald,,2009
45,Christian Watford,,2009
46,Rodney Williams,,2009
47,Junior Cadougan,,2009
48,Kawhi Leonard,2011,2009
49,Brandon Paul,,2009
50,Jamal Coombs-McDaniel,,2009
51,Ray Penn,,2009
52,Eric Bledsoe,2010,2009
53,Kyryl Natyazhko,,2009
54,Rakeem Buckles,,2009
55,Shawn Williams,,2009
56,Solomon Hill,2013,2009
57,Mike Moser,,2009
58,Maurice Creek,,2009
59,Terrell Vinson,,2009
60,Richard Howell,,2009
61,Zeke Marshall,,2009
62,Kenny Hall,,2009
63,Karron Johnson,,2009
64,Jon Hood,,2009
65,Brendan Lane,,2009
66,Isaiah Armwood,,2009
67,Erik Williams,,2009
T67,Tristan Spurlock,,2009
69,Roberto Nelson,,2009
70,Reginald Buckner,,2009
71,Roger Franklin,,2009
72,Marshawn Powell,,2009
73,Jeronne Maymon,,2009
74,Lakeem Jackson,,2009
T74,Jordan Hulls,,2009
76,Hollis Thompson,,2009
77,Dalton Pepper,,2009
78,Kammeon Holsey,,2009
79,Latavious Williams,2010,2009
80,Deshawn Painter,,2009
81,Andrew Fitzgerald,,2009
82,Anthony Marshall,,2009
T82,John Riek,,2009
84,MoMo Jones,,2009
85,DaShonte Riley,,2009
86,Devin Booker,,2009
87,Talib Zanna,,2009
88,Derrick Nix,,2009
89,Keith Clanton,,2009
T89,Donnavan Kirk,,2009
91,Glen Rice,2013,2009
92,Cory Jefferson,2014,2009
93,Tony Mitchell,,2009
94,Clarence Trent,,2009
95,Rashanti Harris,,2009
T95,Cadarian Raines,,2009
97,Chris Colvin,,2009
98,Aaron Dotson,,2009
99,Khris Middleton,2012,2009
100,Derrick Williams,2011,2009
1,Brandon Jennings,2009,2008
2,Jrue Holiday,2009,2008
3,Tyreke Evans,2009,2008
4,Samardo Samuels,,2008
5,DeMar DeRozan,2009,2008
6,Greg Monroe,2010,2008
7,Al-Farouq Aminu,2010,2008
8,Byron Mullens,2009,2008
9,Ed Davis,2010,2008
10,Delvon Roe,,2008
11,Scotty Hopson,,2008
12,William Buford,,2008
